Player & Team,Player,Team,Pos,TOI,PDO,ZSR,G/60,d ixGF,iCF/60,iSh%,A1/60,sA1,GA/60,d xGA,CA/60,PP Sample Size,Poss Entry Rate,Poss Entry %,Poss Exits Rate,Poss Exit %,Entries Denied Rate,Denial %,Avg
BRANDON.MANNING.PHI,BRANDON MANNING (PHI),PHI,D,4,5,5,9,6,7,7,4,3,7,7,7,9,5,3,4,4,3,4,5.5
BRENT.BURNS.SJS,BRENT BURNS (SJS),SJS,D,8,0,9,4,1,10,3,6,6,2,3,5,5,4,6,5,5,3,4,5.5
BROCK.MCGINN.CAR,BROCK MCGINN (CAR),CAR,F,4,5,7,5,2,9,4,3,5,7,6,8,3,5,1,8,5,,,5.5
BRYAN.RUST.PIT,BRYAN RUST (PIT),PIT,F,5,2,5,3,2,5,3,6,5,4,3,8,5,8,6,6,7,,,5.5
CAM.ATKINSON.CBJ,CAM ATKINSON (CBJ),CBJ,F,7,5,5,6,3,9,4,6,3,5,7,4,6,6,6,3,8,,,5.5
CAM.FOWLER.ANA,CAM FOWLER (ANA),ANA,D,8,4,4,7,7,3,9,5,6,6,6,4,5,4,6,6,8,4,4,5.5
CHRIS.KREIDER.NYR,CHRIS KREIDER (NYR),NYR,F,5,6,6,5,4,7,4,6,5,6,7,3,8,4,5,7,4,,,5.5
COLTON.PARAYKO.STL,COLTON PARAYKO (STL),STL,D,7,4,4,3,2,7,3,4,6,6,4,7,5,8,7,7,7,3,3,5.5
CRAIG.SMITH.NSH,CRAIG SMITH (NSH),NSH,F,5,5,6,6,4,9,4,4,2,6,5,7,6,6,5,6,4,,,5.5
DANIEL.SEDIN.VAN,DANIEL SEDIN (VAN),VAN,F,5,3,10,6,5,6,5,4,6,4,4,8,4,6,5,3,5,,,5.5
DANTON.HEINEN.BOS,DANTON HEINEN (BOS),BOS,F,5,7,6,6,7,4,7,6,4,7,5,8,4,4,5,2,7,,,5.5
DAVID.PERRON.VGK,DAVID PERRON (VGK),VGK,F,7,6,6,5,7,2,7,7,10,2,2,4,5,6,5,7,4,,,5.5
DERYK.ENGELLAND.VGK,DERYK ENGELLAND (VGK),VGK,D,5,7,4,6,6,5,5,10,5,6,5,4,5,5,5,5,4,4,6,5.5
ELIAS.LINDHOLM.CAR,ELIAS LINDHOLM (CAR),CAR,F,7,4,7,5,6,4,6,4,6,4,5,4,4,3,10,3,8,,,5.5
ERIC.STAAL.MIN,ERIC STAAL (MIN),MIN,F,7,5,4,8,8,7,6,7,5,2,1,3,5,5,6,7,5,,,5.5
EVANDER.KANE.BUF,EVANDER KANE (BUF),BUF,F,8,4,7,5,3,8,4,6,2,4,4,5,5,6,5,8,6,,,5.5
EVGENY.DADONOV.FLA,EVGENY DADONOV (FLA),FLA,F,7,5,4,6,5,7,5,7,4,4,3,7,4,6,6,3,7,,,5.5
HAMPUS.LINDHOLM.ANA,HAMPUS LINDHOLM (ANA),ANA,D,7,6,4,5,5,4,5,4,5,6,5,8,3,2,8,6,9,4,7,5.5
HENRIK.SEDIN.VAN,HENRIK SEDIN (VAN),VAN,F,5,3,10,2,5,0,4,7,10,4,3,8,4,5,7,2,7,,,5.5
HENRIK.ZETTERBERG.DET,HENRIK ZETTERBERG (DET),DET,F,8,7,6,4,5,5,4,9,4,6,6,5,8,5,5,6,4,,,5.5
JACOB.TROUBA.WPG,JACOB TROUBA (WPG),WPG,D,6,6,4,5,5,8,4,8,6,4,3,4,6,6,7,6,5,6,3,5.5
JAKE.GARDINER.TOR,JAKE GARDINER (TOR),TOR,D,7,8,4,4,4,4,4,7,6,7,7,4,8,4,6,9,5,5,5,5.5
JAKE.GUENTZEL.PIT,JAKE GUENTZEL (PIT),PIT,F,6,2,8,5,4,6,5,4,6,3,5,5,7,6,5,3,7,,,5.5
JAKE.MUZZIN.LAK,JAKE MUZZIN (LAK),LAK,D,7,7,5,4,4,7,4,4,5,8,8,6,5,5,6,7,5,7,6,5.5
JAKOB.SILFVERBERG.ANA,JAKOB SILFVERBERG (ANA),ANA,F,7,6,3,6,6,8,5,3,6,7,8,3,6,9,6,5,6,,,5.5
JAKUB.VRANA.WSH,JAKUB VRANA (WSH),WSH,F,4,5,7,6,5,6,5,4,5,6,6,5,5,5,8,2,7,,,5.5
JAMES.VAN RIEMSDYK.TOR,JAMES VAN RIEMSDYK (TOR),TOR,F,5,5,8,8,5,9,6,4,4,4,3,7,6,6,2,6,4,,,5.5
JASON.SPEZZA.DAL,JASON SPEZZA (DAL),DAL,F,4,5,6,3,3,7,3,6,7,5,4,8,4,6,5,7,4,,,5.5
JEFF.SKINNER.CAR,JEFF SKINNER (CAR),CAR,F,6,1,9,7,4,10,4,5,2,1,1,6,4,8,6,5,6,,,5.5
JOAKIM.RYAN.SJS,JOAKIM RYAN (SJS),SJS,D,3,4,8,2,2,6,2,3,6,8,7,5,3,6,4,2,10,8,5,5.5
JOE.THORNTON.SJS,JOE THORNTON (SJS),SJS,F,7,2,7,3,5,1,5,5,10,3,3,5,5,4,4,6,7,,,5.5
JOEL.ARMIA.WPG,JOEL ARMIA (WPG),WPG,F,3,6,3,7,7,7,6,5,5,5,3,7,4,7,4,8,3,,,5.5
JONATHAN.DROUIN.MTL,JONATHAN DROUIN (MTL),MTL,F,7,3,7,5,5,5,4,5,9,3,5,3,7,5,6,5,5,,,5.5
JORDIE.BENN.MTL,JORDIE BENN (MTL),MTL,D,5,4,4,7,8,5,7,5,5,6,5,4,6,4,2,9,3,5,8,5.5
JUJHAR.KHAIRA.EDM,JUJHAR KHAIRA (EDM),EDM,F,3,2,6,8,7,6,9,4,5,3,1,10,3,6,5,4,6,,,5.5
JUSTIN.WILLIAMS.CAR,JUSTIN WILLIAMS (CAR),CAR,F,6,5,7,4,4,7,4,5,5,5,4,8,4,6,5,8,5,,,5.5
KEITH.YANDLE.FLA,KEITH YANDLE (FLA),FLA,D,8,5,3,5,6,4,6,6,8,4,5,3,5,7,4,5,5,6,8,5.5
KEVIN.HAYES.NYR,KEVIN HAYES (NYR),NYR,F,6,6,3,7,7,5,6,5,5,4,6,3,9,6,7,6,4,,,5.5
KRIS.LETANG.PIT,KRIS LETANG (PIT),PIT,D,8,0,5,3,2,9,3,4,6,1,0,8,7,4,7,6,4,7,5,5.5
KRIS.RUSSELL.EDM,KRIS RUSSELL (EDM),EDM,D,4,3,6,6,6,4,6,7,6,4,4,4,5,3,4,10,4,7,3,5.5
KYLE.CONNOR.WPG,KYLE CONNOR (WPG),WPG,F,6,7,6,8,8,5,7,6,3,5,7,3,6,6,5,5,7,,,5.5
KYLE.TURRIS.NSH,KYLE TURRIS (NSH),NSH,F,6,7,8,4,4,4,4,5,7,6,6,5,4,4,6,4,7,,,5.5
KYLE.TURRIS.OTT,KYLE TURRIS (OTT),OTT,F,8,4,8,3,3,3,4,6,6,4,4,2,4,8,7,10,4,,,5.5
KYLE.TURRIS.TOT,KYLE TURRIS (TOT),TOT,F,6,6,8,4,3,4,4,5,7,6,6,4,7,6,7,7,5,,,5.5
MARC-EDOUARD.VLASIC.SJS,MARC-EDOUARD VLASIC (SJS),SJS,D,7,5,2,10,8,6,9,3,3,5,6,4,5,6,3,4,6,6,7,5.5
MARK.JANKOWSKI.CGY,MARK JANKOWSKI (CGY),CGY,F,4,6,7,6,4,6,6,4,8,6,6,3,3,5,7,5,9,,,5.5
MATHIEU.PERREAULT.WPG,MATHIEU PERREAULT (WPG),WPG,F,4,5,5,8,7,6,7,7,4,5,4,8,4,4,4,7,5,,,5.5
MATS.ZUCCARELLO.NYR,MATS ZUCCARELLO (NYR),NYR,F,7,5,5,4,4,4,5,7,5,5,6,3,10,6,5,6,4,,,5.5
MATT.BENNING.EDM,MATT BENNING (EDM),EDM,D,4,5,8,7,7,6,7,3,4,5,6,5,5,3,7,5,6,4,8,5.5
MATT.DUCHENE.TOT,MATT DUCHENE (TOT),TOT,F,6,6,5,5,5,5,5,7,8,4,3,3,5,6,7,4,7,,,5.5
MATT.DUMBA.MIN,MATT DUMBA (MIN),MIN,D,7,7,4,9,10,5,10,7,4,4,3,4,5,4,4,4,6,7,5,5.5
MATTHEW.TKACHUK.CGY,MATTHEW TKACHUK (CGY),CGY,F,6,3,4,7,6,6,6,4,8,4,3,7,5,6,6,2,6,,,5.5
MATTIAS.EKHOLM.NSH,MATTIAS EKHOLM (NSH),NSH,D,8,5,4,4,4,4,5,7,5,5,5,6,7,7,5,8,4,4,6,5.5
MAX.PACIORETTY.MTL,MAX PACIORETTY (MTL),MTL,F,8,3,7,4,3,9,3,4,5,2,2,6,7,6,5,7,5,,,5.5
MICHAEL.FROLIK.CGY,MICHAEL FROLIK (CGY),CGY,F,6,3,4,3,3,8,3,4,7,4,3,7,6,7,5,4,7,,,5.5
MIKAEL.BACKLUND.CGY,MIKAEL BACKLUND (CGY),CGY,F,8,2,3,5,5,7,5,4,5,3,2,7,6,5,6,3,8,,,5.5
MIKAEL.GRANLUND.MIN,MIKAEL GRANLUND (MIN),MIN,F,8,5,4,5,4,6,4,6,6,6,3,7,4,6,6,9,2,,,5.5
MIKE.GREEN.DET,MIKE GREEN (DET),DET,D,7,5,6,6,5,5,6,3,6,6,6,5,7,8,5,7,6,3,4,5.5
MILES.WOOD.NJD,MILES WOOD (NJD),NJD,F,3,5,4,8,7,8,6,4,5,5,5,5,5,9,5,4,6,,,5.5
MITCH.MARNER.TOR,MITCH MARNER (TOR),TOR,F,5,5,7,4,4,6,4,6,6,5,4,6,6,8,6,5,5,,,5.5
NAZEM.KADRI.TOR,NAZEM KADRI (TOR),TOR,F,6,6,2,6,6,7,6,4,6,6,8,2,7,7,6,6,5,,,5.5
NICK.BJUGSTAD.FLA,NICK BJUGSTAD (FLA),FLA,F,5,5,5,7,6,7,5,6,7,4,4,5,5,4,6,7,5,,,5.5
NINO.NIEDERREITER.MIN,NINO NIEDERREITER (MIN),MIN,F,5,8,5,7,7,5,7,3,5,7,7,7,4,9,6,7,2,,,5.5
OLIVER.BJORKSTRAND.CBJ,OLIVER BJORKSTRAND (CBJ),CBJ,F,4,6,5,5,6,5,5,7,6,7,7,4,7,7,5,5,5,,,5.5
OLLI.MAATTA.PIT,OLLI MAATTA (PIT),PIT,D,5,2,6,5,5,8,4,6,5,4,4,5,6,4,4,7,5,6,4,5.5
ONDREJ.PALAT.TBL,ONDREJ PALAT (TBL),TBL,F,6,9,5,3,3,6,3,7,6,7,6,5,6,6,5,7,4,,,5.5
PATRICK.MAROON.EDM,PATRICK MAROON (EDM),EDM,F,6,5,6,6,5,6,6,3,5,5,6,5,6,4,6,4,6,,,5.5
PATRICK.SHARP.CHI,PATRICK SHARP (CHI),CHI,F,4,4,7,6,6,7,5,3,4,4,4,4,6,7,6,7,6,,,5.5
PAUL.BYRON.MTL,PAUL BYRON (MTL),MTL,F,5,5,5,8,7,3,10,4,6,4,4,5,7,4,7,3,5,,,5.5
PAVEL.BUCHNEVICH.NYR,PAVEL BUCHNEVICH (NYR),NYR,F,5,7,7,6,6,6,6,7,5,6,8,3,8,4,4,5,3,,,5.5
PHIL.KESSEL.PIT,PHIL KESSEL (PIT),PIT,F,7,4,8,7,7,7,5,5,5,2,4,3,7,3,10,3,6,,,5.5
PHILLIP.DANAULT.MTL,PHILLIP DANAULT (MTL),MTL,F,6,3,5,4,3,4,4,7,6,3,2,6,7,6,5,6,6,,,5.5
PIERRE-EDOUARD.BELLEMARE.VGK,PIERRE-EDOUARD BELLEMARE (VGK),VGK,F,3,5,4,5,6,5,5,3,9,8,6,8,4,5,6,7,3,,,5.5
PIERRE-LUC.DUBOIS.CBJ,PIERRE-LUC DUBOIS (CBJ),CBJ,F,5,5,9,5,5,4,5,4,7,6,6,8,7,4,6,3,7,,,5.5
RADKO.GUDAS.PHI,RADKO GUDAS (PHI),PHI,D,3,2,6,2,2,8,2,8,4,6,4,8,9,3,4,10,1,4,5,5.5
RICHARD.PANIK.TOT,RICHARD PANIK (TOT),TOT,F,5,5,7,3,2,7,3,6,7,6,7,6,5,8,7,6,4,,,5.5
RICK.NASH.NYR,RICK NASH (NYR),NYR,F,6,4,6,7,6,9,5,4,3,4,5,2,9,6,6,5,5,,,5.5
RICKARD.RAKELL.ANA,RICKARD RAKELL (ANA),ANA,F,8,6,5,7,7,6,7,5,4,2,3,3,6,5,7,7,7,,,5.5
RYAN.DZINGEL.OTT,RYAN DZINGEL (OTT),OTT,F,6,4,6,7,7,4,8,4,6,3,4,3,5,4,7,4,7,,,5.5
RYAN.STROME.EDM,RYAN STROME (EDM),EDM,F,5,5,7,4,4,4,4,7,7,6,4,8,5,3,7,3,4,,,5.5
RYAN.SUTER.MIN,RYAN SUTER (MIN),MIN,D,9,4,4,6,7,4,6,8,5,5,3,4,6,5,5,4,6,8,4,5.5
SAMUEL.GIRARD.NSH,SAMUEL GIRARD (NSH),NSH,D,3,1,6,10,10,4,10,2,3,1,0,7,2,6,7,6,6,5,4,5.5
SAMUEL.GIRARD.TOT,SAMUEL GIRARD (TOT),TOT,D,3,6,8,4,5,3,4,3,5,4,2,6,4,7,6,10,5,6,6,5.5
SHEA.THEODORE.VGK,SHEA THEODORE (VGK),VGK,D,5,5,6,7,6,5,6,4,4,6,5,5,3,7,6,4,6,10,4,5.5
SHEA.WEBER.MTL,SHEA WEBER (MTL),MTL,D,8,1,6,10,9,8,8,6,6,2,2,5,5,1,7,2,5,4,4,5.5
T.J..OSHIE.WSH,T.J. OSHIE (WSH),WSH,F,7,7,5,4,5,3,5,5,4,8,9,6,5,6,6,2,8,,,5.5
TANNER.PEARSON.LAK,TANNER PEARSON (LAK),LAK,F,6,5,6,4,3,7,4,4,5,5,6,5,5,8,4,6,6,,,5.5
THOMAS.CHABOT.OTT,THOMAS CHABOT (OTT),OTT,D,2,4,9,9,9,5,8,4,5,3,3,3,2,6,3,6,6,1,10,5.5
TRAVIS.HAMONIC.CGY,TRAVIS HAMONIC (CGY),CGY,D,5,5,5,3,4,5,3,5,6,7,7,5,6,5,8,7,5,7,5,5.5
TREVOR.VAN RIEMSDYK.CAR,TREVOR VAN RIEMSDYK (CAR),CAR,D,3,6,9,3,3,4,3,5,10,7,5,8,3,5,5,0,10,4,4,5.5
TROY.STECHER.VAN,TROY STECHER (VAN),VAN,D,4,4,6,4,4,6,4,6,6,4,5,6,3,10,6,8,5,5,7,5.5
TYLER.JOHNSON.TBL,TYLER JOHNSON (TBL),TBL,F,6,6,6,7,7,6,7,5,6,5,5,4,6,3,7,4,5,,,5.5
TYLER.PITLICK.DAL,TYLER PITLICK (DAL),DAL,F,4,7,2,7,7,7,7,4,4,8,6,7,4,8,4,5,4,,,5.5
TYLER.TOFFOLI.LAK,TYLER TOFFOLI (LAK),LAK,F,6,7,7,6,4,10,4,4,5,6,9,3,5,8,3,6,5,,,5.5
VALTTERI.FILPPULA.PHI,VALTTERI FILPPULA (PHI),PHI,F,6,5,5,4,6,0,7,4,5,6,6,4,10,4,7,2,7,,,5.5
VICTOR.RASK.CAR,VICTOR RASK (CAR),CAR,F,5,7,9,6,7,5,6,2,6,7,8,4,4,6,6,4,5,,,5.5
VIKTOR.ARVIDSSON.NSH,VIKTOR ARVIDSSON (NSH),NSH,F,7,7,6,7,6,10,5,3,3,7,9,3,6,5,7,6,4,,,5.5
VLADISLAV.NAMESTNIKOV.TBL,VLADISLAV NAMESTNIKOV (TBL),TBL,F,7,8,8,6,5,4,6,4,6,6,6,5,7,5,6,4,5,,,5.5
WAYNE.SIMMONDS.PHI,WAYNE SIMMONDS (PHI),PHI,F,7,4,5,3,3,4,3,3,5,6,6,5,10,6,4,7,4,,,5.5
WILL.BUTCHER.NJD,WILL BUTCHER (NJD),NJD,D,3,5,9,4,4,4,4,6,7,6,6,6,4,6,3,6,8,7,4,5.5
YANNI.GOURDE.TBL,YANNI GOURDE (TBL),TBL,F,5,9,4,8,7,4,8,7,7,7,6,6,6.0,4,4,5,5,,,5.5
ZACH.HYMAN.TOR,ZACH HYMAN (TOR),TOR,F,7,9,5,6,3,5,6,8,2,8,9,4,7.0,4,4,3,5,,,5.5
ADAM.HENRIQUE.ANA,ADAM HENRIQUE (ANA),ANA,F,7,7,4,8,9,3,10,4,7,7,7,6,3,2,6,2,2,,,5
ADAM.HENRIQUE.TOT,ADAM HENRIQUE (TOT),TOT,F,7,6,4,6,6,4,7,4,5,7,8,4,5,5,5,4,2,,,5
ADAM.LARSSON.EDM,ADAM LARSSON (EDM),EDM,D,6,3,4,5,5,4,5,4,4,4,4,5,5,3,6,8,6,6,7,5
ALEC.MARTINEZ.LAK,ALEC MARTINEZ (LAK),LAK,D,7,6,5,7,8,3,8,4,3,6,7,4,4,2,8,5,5,4,4,5
ALEX.GALCHENYUK.MTL,ALEX GALCHENYUK (MTL),MTL,F,5,3,7,4,4,6,4,5,5,4,6,2,7,4,7,7,5,,,5
ALEX.GOLIGOSKI.ARI,ALEX GOLIGOSKI (ARI),ARI,D,7,3,3,6,7,4,7,7,8,3,5,1,4,8,7,6,7,1,3,5
ALEX.KILLORN.TBL,ALEX KILLORN (TBL),TBL,F,5,7,5,3,4,5,3,8,4,5,4,6,5,6,7,7,4,,,5
ALEX.WENNBERG.CBJ,ALEX WENNBERG (CBJ),CBJ,F,7,6,7,3,4,1,4,6,5,6,7,6,6,3,5,3,6,,,5
ANDERS.BJORK.BOS,ANDERS BJORK (BOS),BOS,F,3,6,10,3,5,5,5,5,6,6,6,7,3,3,5,6,6,,,5
ANDERS.LEE.NYI,ANDERS LEE (NYI),NYI,F,6,7,6,10,10,4,10,4,4,1,3,3,7,5,4,3,5,,,5
ANDRE.BURAKOVSKY.WSH,ANDRE BURAKOVSKY (WSH),WSH,F,4,3,7,3,4,6,4,4,6,5,7,7,4,5,7,4,7,,,5
ANDREW.COPP.WPG,ANDREW COPP (WPG),WPG,F,4,7,3,4,4,4,4,4,4,8,6,8,5,7,5,5,2,,,5
ANDREW.LADD.NYI,ANDREW LADD (NYI),NYI,F,6,6,5,6,6,5,7,4,3,6,5,7,6,3,4,6,4,,,5
ANDREW.SHAW.MTL,ANDREW SHAW (MTL),MTL,F,6,4,6,4,4,4,4,4,6,3,3,5,7,7,4,4,6,,,5
ANTHONY.DUCLAIR.TOT,ANTHONY DUCLAIR (TOT),TOT,F,4,5,6,6,6,5,6,5,5,6,7,3,4,8,5,2,8,,,5
ANTON.STRALMAN.TBL,ANTON STRALMAN (TBL),TBL,D,6,8,7,4,5,5,4,4,5,7,6,6,6,3,4,4,6,5,5,5
ARTTURI.LEHKONEN.MTL,ARTTURI LEHKONEN (MTL),MTL,F,6,2,5,3,0,9,2,4,4,4,4,5,5,6,5,5,4,,,5
BEN.HUTTON.VAN,BEN HUTTON (VAN),VAN,D,5,5,5,2,2,5,2,2,2,6,6,7,3,10,4,5,5,7,6,5
BLAKE.COMEAU.COL,BLAKE COMEAU (COL),COL,F,5,5,2,5,6,4,5,5,5,6,5,4,5,5,5,8,5,,,5
BOBBY.RYAN.OTT,BOBBY RYAN (OTT),OTT,F,6,6,5,5,6,5,6,7,5,4,4,2,3,10,4,5,4,,,5
BRANDON.MONTOUR.ANA,BRANDON MONTOUR (ANA),ANA,D,5,9,6,3,3,6,3,5,5,7,9,2,5,9,4,3,8,5,3,5
BRANDON.TANEV.WPG,BRANDON TANEV (WPG),WPG,F,4,7,3,3,3,5,3,4,4,9,7,9,5,7,3,5,5,,,5
BRENDAN.PERLINI.ARI,BRENDAN PERLINI (ARI),ARI,F,5,5,4,7,7,6,7,4,4,4,5,3,3,6,6,5,6,,,5
BRENDAN.SMITH.NYR,BRENDAN SMITH (NYR),NYR,D,3,7,5,4,1,5,3,5,4,5,8,3,7,4,6,9,4,4,8,5
BRENDEN.DILLON.SJS,BRENDEN DILLON (SJS),SJS,D,4,3,8,3,4,5,3,6,8,3,4,7,5,7,3,3,5,7,6,5
BRENT.SEABROOK.CHI,BRENT SEABROOK (CHI),CHI,D,5,7,7,5,4,5,5,4,5,6,8,3,7,3,2,7,4,6,3,5
BRETT.KULAK.CGY,BRETT KULAK (CGY),CGY,D,1,6,5,2,3,5,2,5,3,6,6,4,3,9,4,4,8,10,6,5
BRETT.PESCE.CAR,BRETT PESCE (CAR),CAR,D,6,2,5,3,4,4,4,6,6,3,2,8,4,6,7,1,7,7,6,5
BRIAN.DUMOULIN.PIT,BRIAN DUMOULIN (PIT),PIT,D,5,1,6,5,6,4,6,4,6,3,2,7,7,3,6,5,4,5,3,5
BRIAN.GIBBONS.NJD,BRIAN GIBBONS (NJD),NJD,F,4,9,3,7,8,3,8,9,5,7,6,5,5,3,3,3,8,,,5
CALLE.JARNKROK.NSH,CALLE JARNKROK (NSH),NSH,F,5,9,3,6,7,4,7,5,4,9,9,5,6,2,6,1,7,,,5
CALVIN.DE HAAN.NYI,CALVIN DE HAAN (NYI),NYI,D,4,7,4,4,5,5,4,9,7,4,5,5,5,6,5,8,6,4,3,5
CARL.GUNNARSSON.STL,CARL GUNNARSSON (STL),STL,D,2,9,3,8,10,2,10,3,5,10,7,5,5,1,8,6,2,5,6,5
CARL.HAGELIN.PIT,CARL HAGELIN (PIT),PIT,F,5,4,4,3,3,6,3,5,4,6,4,9,6,4,5,4,3,,,5
CHAD.RUHWEDEL.PIT,CHAD RUHWEDEL (PIT),PIT,D,3,2,6,4,4,6,4,4,6,5,5,6,4,4,5,5,3,5,6,5
CHARLES.HUDON.MTL,CHARLES HUDON (MTL),MTL,F,4,4,6,4,2,8,3,4,5,3,1,6,6,8,6,5,5,,,5
CHRIS.KUNITZ.TBL,CHRIS KUNITZ (TBL),TBL,F,3,6,5,5,7,3,6,5,4,8,6,6,5,6,3,6,5,,,5
CHRIS.TANEV.VAN,CHRIS TANEV (VAN),VAN,D,5,8,3,6,7,0,8,3,6,4,3,7,3,4,5,9,3,7,7,5
CHRIS.TIERNEY.SJS,CHRIS TIERNEY (SJS),SJS,F,5,5,7,5,5,2,6,2,6,8,8,6,5,5,5,5,3,,,5
CONNOR.CARRICK.TOR,CONNOR CARRICK (TOR),TOR,D,2,8,8,6,6,6,7,5,2,6,6,7,4,3,2,5,3,7,3,5
CONNOR.MURPHY.CHI,CONNOR MURPHY (CHI),CHI,D,2,6,5,4,3,7,3,6,4,7,6,8,5,6,5,5,3,5,7,5
CONOR.SHEARY.PIT,CONOR SHEARY (PIT),PIT,F,5,3,6,6,6,6,6,4,3,3,3,4,7,5,4,6,4,,,5
DAVID.BACKES.BOS,DAVID BACKES (BOS),BOS,F,6,3,5,6,5,8,4,4,5,6,4,8,3,5,0,7,5,,,5
DAVID.SAVARD.CBJ,DAVID SAVARD (CBJ),CBJ,D,5,5,3,5,5,6,5,5,6,4,6,2,7,5,3,8,5,6,5,5
DENIS.MALGIN.FLA,DENIS MALGIN (FLA),FLA,F,4,6,5,10,10,3,10,1,4,5,6,3,3,3,6,7,5,,,5
DEREK.FORBORT.LAK,DEREK FORBORT (LAK),LAK,D,6,5,4,3,4,4,4,6,5,7,7,6,5,3,5,5,6,4,5,5
DEREK.GRANT.ANA,DEREK GRANT (ANA),ANA,F,3,7,5,6,6,3,8,7,5,6,7,2,4,3,6,4,7,,,5
DEREK.RYAN.CAR,DEREK RYAN (CAR),CAR,F,6,1,8,6,5,5,6,5,6,1,0,8,4,5,6,2,4,,,5
DERICK.BRASSARD.OTT,DERICK BRASSARD (OTT),OTT,F,7,4,6,5,5,5,5,5,4,2,3,4,6,4,5,5,5,,,5
DMITRY.KULIKOV.WPG,DMITRY KULIKOV (WPG),WPG,D,3,5,5,5,6,3,6,7,4,6,6,7,4,4,4,2,3,7,7,5
ESA.LINDELL.DAL,ESA LINDELL (DAL),DAL,D,6,7,4,4,4,4,4,4,5,6,5,7,5,5,4,4,4,6,8,5
J.T..MILLER.NYR,J.T. MILLER (NYR),NYR,F,6,7,6,4,4,2,5,6,6,5,8,1,9,5,6,6,6,,,5
JAKE.VIRTANEN.VAN,JAKE VIRTANEN (VAN),VAN,F,2,5,4,4,4,7,4,2,2,6,6,7,4,8,6,7,5,,,5
JAMES.NEAL.VGK,JAMES NEAL (VGK),VGK,F,6,5,6,8,9,8,7,4,3,3,2,5,6,3,4,3,6,,,5
JAN.RUTTA.CHI,JAN RUTTA (CHI),CHI,D,5,3,6,7,8,5,8,7,4,0,2,3,6,4,5,4,3,4,6,5
JARED.MCCANN.FLA,JARED MCCANN (FLA),FLA,F,4,5,6,5,5,7,4,6,6,7,7,4,3,4,5,6,4,,,5
JASON.DEMERS.ARI,JASON DEMERS (ARI),ARI,D,6,2,4,5,5,5,6,5,8,2,2,6,4,3,3,3,7,3,6,5
JESPER.BRATT.NJD,JESPER BRATT (NJD),NJD,F,6,5,6,5,6,3,7,4,6,4,5,4,5,4,7,5,6,,,5
JIMMY.VESEY.NYR,JIMMY VESEY (NYR),NYR,F,4,6,5,7,5,5,7,3,4,3,5,3,8,4,6,6,6,,,5
JOAKIM.NORDSTROM.CAR,JOAKIM NORDSTROM (CAR),CAR,F,2,2,4,2,2,8,2,1,8,5,5,6,3,9,4,6,7,,,5
JOE.PAVELSKI.SJS,JOE PAVELSKI (SJS),SJS,F,7,3,6,4,4,5,4,4,7,3,3,4,5,5,8,3,6,,,5
JOEL.EDMUNDSON.STL,JOEL EDMUNDSON (STL),STL,D,6,4,5,7,6,7,6,4,7,4,4,4,5,5,5,4,6,3,5,5
JOHN.MOORE.NJD,JOHN MOORE (NJD),NJD,D,5,6,6,5,6,5,5,4,4,5,6,5,5,5,5,4,4,7,6,5
JONAS.BRODIN.MIN,JONAS BRODIN (MIN),MIN,D,6,8,4,7,9,2,10,6,3,5,4,4,5,3,7,3,4,6,1,5
JORDAN.STAAL.CAR,JORDAN STAAL (CAR),CAR,F,8,4,4,5,4,4,5,4,4,4,3,6,4,5,4,3,7,,,5
JORDAN.WEAL.PHI,JORDAN WEAL (PHI),PHI,F,4,4,5,3,3,4,4,5,4,6,5,6,10,5,5,5,5,,,5
JOSH.BAILEY.NYI,JOSH BAILEY (NYI),NYI,F,7,7,6,5,6,3,6,7,5,3,6,2,7,2,3,5,6,,,5
JOSH.MORRISSEY.WPG,JOSH MORRISSEY (WPG),WPG,D,5,5,5,7,8,4,8,5,5,4,3,4,6,3,3,0,6,6,6,5
JUSTIN.ABDELKADER.DET,JUSTIN ABDELKADER (DET),DET,F,6,5,6,5,5,4,7,4,4,4,5,6,5,5,5,4,6,,,5
JUSTIN.BRAUN.SJS,JUSTIN BRAUN (SJS),SJS,D,6,5,2,3,4,5,3,10,5,5,6,3,5,6,3,5,6,5,8,5
JUSTIN.SCHULTZ.PIT,JUSTIN SCHULTZ (PIT),PIT,D,4,6,5,5,6,5,5,6,8,5,5,4,5,3,8,4,3,8,4,5
KEVAN.MILLER.BOS,KEVAN MILLER (BOS),BOS,D,4,5,7,3,5,3,4,5,4,7,5,9,4,8,7,5,4,4,4,5
KEVIN.SHATTENKIRK.NYR,KEVIN SHATTENKIRK (NYR),NYR,D,5,3,9,3,4,4,4,5,4,3,4,4,9,6,5,8,4,4,4,5
KYLE.OKPOSO.BUF,KYLE OKPOSO (BUF),BUF,F,7,4,6,4,4,5,4,5,4,4,3,6,4,7,3,7,7,,,5
LOGAN.COUTURE.SJS,LOGAN COUTURE (SJS),SJS,F,7,4,5,8,8,6,8,4,5,3,3,3,4,5,5,5,2,,,5
LOUI.ERIKSSON.VAN,LOUI ERIKSSON (VAN),VAN,F,6,4,6,6,6,4,5,6,6,4,4,5,3,4,6,4,4,,,5
MACKENZIE.WEEGAR.FLA,MACKENZIE WEEGAR (FLA),FLA,D,2,4,6,4,5,5,4,4,2,8,8,6,2,9,3,9,7,5,6,5
MARCUS.JOHANSSON.NJD,MARCUS JOHANSSON (NJD),NJD,F,5,2,5,5,7,2,7,6,4,1,1,6,4,4,5,7,7,,,5
